N,P,K,temperature,humidity,ph,rainfall,label
25,43,20,30.1,43.15,4.78,72.82,mothbeans
19,49,21,27.92,56.12,4.99,54.87,mothbeans
24,52,16,28.57,44.63,5.31,39.84,mothbeans
20,56,18,31.42,64.25,7.21,36.44,mothbeans
24,55,19,24.7,53.92,8.99,65.82,mothbeans
19,52,17,25.75,61.85,5.12,41.85,mothbeans
15,57,23,29.02,58.76,4.49,50.62,mothbeans
24,37,20,31.37,41.0,5.39,39.34,mothbeans
21,58,20,27.73,59.01,4.5,51.93,mothbeans
26,50,25,30.16,49.95,8.88,37.68,mothbeans
16,40,18,28.08,55.38,9.42,52.94,mothbeans
28,36,15,28.41,50.95,8.95,37.23,mothbeans
16,46,17,24.4,58.11,4.23,57.37,mothbeans
22,39,19,30.41,49.8,8.38,35.65,mothbeans
34,41,22,28.53,63.23,6.02,32.98,mothbeans
15,56,20,30.2,45.86,5.74,31.35,mothbeans
39,52,24,26.12,55.29,7.91,44.29,mothbeans
36,59,24,29.91,46.94,5.33,73.35,mothbeans
15,53,22,28.98,64.75,5.53,45.3,mothbeans
17,46,18,26.75,60.86,9.58,38.36,mothbeans
24,58,16,24.74,44.07,7.37,36.77,mothbeans
39,46,20,25.97,51.77,7.8,63.8,mothbeans
34,49,24,30.54,58.93,3.86,30.31,mothbeans
20,52,19,27.22,62.11,9.32,70.91,mothbeans
23,52,18,25.52,44.62,5.72,49.35,mothbeans
36,38,22,28.25,47.2,6.7,43.5,mothbeans
30,46,17,24.93,53.67,9.37,45.48,mothbeans
33,51,24,30.57,54.17,7.77,70.43,mothbeans
25,43,15,30.61,60.02,4.18,55.96,mothbeans
27,38,25,25.72,41.68,7.37,63.25,mothbeans
16,51,20,24.83,44.31,7.19,43.34,mothbeans
38,55,25,26.08,64.24,6.3,45.64,mothbeans
16,36,22,27.66,45.66,7.49,41.38,mothbeans
29,44,23,30.57,51.93,5.78,46.32,mothbeans
35,43,17,24.68,51.67,6.63,67.84,mothbeans
21,45,23,30.59,49.62,6.48,43.65,mothbeans
38,38,24,29.47,53.29,3.71,51.4,mothbeans
25,39,22,31.77,54.05,8.15,33.08,mothbeans
25,38,21,31.51,56.54,4.0,45.96,mothbeans
29,45,23,30.52,55.3,5.93,41.49,mothbeans
18,44,19,29.41,56.45,3.96,47.79,mothbeans
20,39,23,24.34,50.48,4.59,69.57,mothbeans
29,41,20,29.85,63.95,4.93,69.88,mothbeans
38,58,21,29.04,50.08,8.39,53.91,mothbeans
32,46,22,30.6,43.66,8.91,54.31,mothbeans
36,46,19,31.32,46.28,8.99,51.78,mothbeans
28,43,21,26.6,40.98,5.27,30.29,mothbeans
39,59,19,29.83,48.65,7.86,66.24,mothbeans
39,45,23,26.13,64.76,3.67,57.16,mothbeans
31,52,16,31.51,44.53,7.55,40.02,mothbeans
23,49,19,25.28,44.27,6.22,64.08,mothbeans
37,37,19,24.8,40.41,7.8,57.11,mothbeans
19,41,15,30.68,64.37,4.38,40.42,mothbeans
37,58,19,24.4,40.98,7.23,47.68,mothbeans
16,50,15,30.3,47.66,3.76,56.48,mothbeans
25,59,20,26.2,57.74,5.26,70.69,mothbeans
24,49,16,27.41,60.81,8.74,40.09,mothbeans
21,55,24,24.76,51.25,5.69,69.18,mothbeans
17,40,23,24.41,52.31,6.37,45.05,mothbeans
25,48,17,28.58,60.14,8.44,36.93,mothbeans
19,42,19,27.27,56.99,3.87,31.56,mothbeans
25,52,17,29.13,46.5,9.26,70.31,mothbeans
22,41,19,25.92,56.81,8.87,60.29,mothbeans
36,45,17,29.9,49.01,7.86,42.18,mothbeans
17,60,17,31.91,64.43,8.66,59.67,mothbeans
29,57,18,27.74,55.48,6.17,49.24,mothbeans
23,49,24,25.61,63.36,7.98,67.05,mothbeans
29,54,15,30.55,41.0,9.28,74.64,mothbeans
22,40,23,26.02,61.64,4.17,35.67,mothbeans
39,52,23,26.59,56.91,7.36,57.14,mothbeans
32,49,19,26.21,59.21,4.97,61.16,mothbeans
21,51,22,25.75,41.5,4.35,57.27,mothbeans
36,36,22,26.73,51.96,9.54,44.94,mothbeans
27,35,16,26.07,40.7,7.6,49.19,mothbeans
29,39,18,29.31,64.13,3.83,70.07,mothbeans
29,49,20,24.56,42.25,7.41,45.34,mothbeans
38,45,16,29.72,47.33,6.92,61.4,mothbeans
38,55,22,29.44,63.65,5.42,30.05,mothbeans
22,40,22,29.07,54.84,3.61,62.8,mothbeans
23,52,21,26.74,43.36,4.11,67.42,mothbeans
38,51,16,27.22,58.22,8.57,35.32,mothbeans
15,53,19,26.04,40.32,7.01,68.3,mothbeans
39,49,20,24.68,53.72,5.97,57.32,mothbeans
25,41,16,26.52,42.42,4.65,74.43,mothbeans
26,48,24,31.96,54.57,8.78,44.71,mothbeans
23,45,22,29.46,47.88,4.37,58.46,mothbeans
18,49,22,29.6,58.84,9.17,52.5,mothbeans
33,50,17,24.21,47.11,6.38,57.77,mothbeans
36,40,16,29.89,81.08,6.68,49.64,mungbean
29,37,16,27.32,85.86,6.74,40.84,mungbean
31,56,15,28.49,86.89,6.45,42.69,mungbean
30,57,23,28.75,87.3,6.56,51.02,mungbean
27,40,22,28.67,83.59,7.11,35.52,mungbean
23,36,23,29.11,83.31,6.88,44.9,mungbean
34,46,19,29.8,82.51,6.32,49.61,mungbean
39,44,16,28.02,85.06,6.36,51.45,mungbean
40,46,19,28.2,81.15,7.08,45.37,mungbean
25,51,19,28.94,80.61,7.01,58.51,mungbean
31,59,17,28.43,86.02,6.78,45.04,mungbean
23,38,19,27.49,87.34,6.41,36.46,mungbean
29,50,24,28.73,83.45,7.0,48.51,mungbean
17,49,24,28.19,82.96,6.34,38.79,mungbean
26,50,16,29.82,87.55,6.79,55.71,mungbean
17,47,21,29.49,87.83,6.48,58.52,mungbean
18,57,25,27.53,87.22,6.24,45.14,mungbean
28,50,24,29.02,84.81,7.01,58.76,mungbean
16,60,16,29.44,82.8,6.33,46.0,mungbean
31,45,16,28.8,89.02,6.58,40.41,mungbean
26,36,23,29.48,85.88,6.55,54.99,mungbean
29,56,21,29.35,85.99,6.61,58.95,mungbean
29,50,17,28.88,85.72,6.38,36.49,mungbean
30,54,20,27.68,86.67,6.28,46.05,mungbean
19,40,17,28.16,80.51,6.6,47.79,mungbean
27,45,23,27.44,85.06,6.26,36.78,mungbean
29,49,24,28.67,89.6,6.25,37.45,mungbean
16,40,20,28.94,80.46,7.15,56.05,mungbean
22,37,17,27.38,81.23,6.72,41.15,mungbean
24,60,22,29.85,81.43,6.58,48.87,mungbean
17,35,22,28.93,84.11,6.69,45.39,mungbean
16,43,17,27.3,89.57,6.8,53.22,mungbean
23,45,17,27.29,81.79,7.0,51.94,mungbean
29,47,24,27.22,82.81,6.55,54.56,mungbean
40,41,24,29.49,82.25,6.6,45.24,mungbean
39,40,23,28.0,87.31,6.62,49.46,mungbean
36,55,24,27.18,86.92,6.34,45.4,mungbean
29,45,20,29.99,81.35,6.88,44.9,mungbean
18,39,24,29.64,89.07,7.19,40.21,mungbean
24,52,20,28.26,83.58,6.79,49.39,mungbean
19,47,21,28.71,82.1,6.94,35.63,mungbean
24,55,21,27.78,86.95,6.77,54.91,mungbean
33,50,20,27.4,82.61,6.62,49.98,mungbean
28,42,15,28.49,82.86,6.93,35.6,mungbean
30,59,17,28.41,80.91,6.83,48.76,mungbean
25,48,24,27.59,80.23,7.06,49.43,mungbean
37,50,23,28.29,87.5,7.11,49.3,mungbean
20,42,17,27.74,83.06,6.76,49.7,mungbean
26,50,16,27.26,81.72,6.72,40.35,mungbean
22,45,23,27.04,86.49,6.87,54.97,mungbean
38,36,17,29.66,84.59,6.76,51.58,mungbean
32,58,25,29.16,82.87,7.08,36.23,mungbean
21,57,18,27.66,81.38,7.06,47.5,mungbean
32,41,23,29.28,83.13,6.61,40.24,mungbean
39,51,24,27.91,87.82,6.97,52.29,mungbean
39,45,16,29.02,87.29,6.78,40.17,mungbean
28,43,19,28.94,87.45,6.43,45.13,mungbean
22,40,23,29.73,83.7,6.95,57.42,mungbean
36,40,25,28.13,83.39,6.26,47.15,mungbean
18,41,18,29.43,88.75,6.5,56.47,mungbean
36,54,16,29.07,89.45,6.88,43.29,mungbean
28,51,20,27.36,83.12,7.0,56.54,mungbean
18,59,18,28.99,87.52,7.01,58.64,mungbean
23,56,16,29.12,87.42,6.88,41.31,mungbean
37,39,16,29.15,84.75,7.05,44.58,mungbean
19,56,20,27.57,87.2,6.71,50.11,mungbean
27,56,23,29.13,81.05,7.04,51.78,mungbean
32,44,24,29.18,81.13,6.61,57.16,mungbean
16,59,22,28.89,82.71,6.45,58.55,mungbean
22,54,19,27.42,80.11,6.74,59.39,mungbean
24,44,18,28.56,84.41,7.08,47.64,mungbean
28,38,25,27.75,80.73,6.86,49.88,mungbean
25,46,23,27.59,88.2,6.85,45.47,mungbean
26,41,23,28.54,83.21,6.8,59.89,mungbean
26,58,18,27.16,82.04,6.62,40.49,mungbean
15,58,23,29.23,81.68,6.32,36.69,mungbean
33,58,19,27.36,85.12,6.55,44.37,mungbean
31,53,16,27.11,89.94,6.43,36.35,mungbean
20,36,19,29.41,83.41,6.64,51.89,mungbean
28,57,24,27.03,87.78,6.66,59.72,mungbean
27,60,23,27.75,85.38,7.19,56.44,mungbean
17,53,18,27.02,84.03,6.43,55.47,mungbean
23,56,15,27.92,82.41,6.43,36.7,mungbean
20,49,18,28.25,83.77,7.08,57.63,mungbean
27,43,16,29.86,80.6,6.5,42.45,mungbean
23,39,23,27.37,86.35,6.32,36.76,mungbean
38,40,23,28.63,80.78,7.16,41.17,mungbean
36,39,24,27.04,85.12,6.97,58.37,mungbean
38,55,24,27.6,82.84,6.49,44.43,mungbean
25,49,17,29.07,81.68,6.51,47.58,mungbean
35,53,21,27.47,85.47,6.29,44.43,mungbean
25,36,18,29.87,89.54,6.55,36.08,mungbean
19,45,24,27.42,87.64,6.31,59.53,mungbean
25,54,18,28.88,81.92,6.35,58.45,mungbean
38,57,21,29.42,80.69,6.53,42.84,mungbean
31,44,16,28.79,88.14,6.58,38.31,mungbean
20,41,18,28.93,86.01,6.9,44.06,mungbean
36,40,20,29.4,81.8,6.31,57.09,mungbean
24,52,15,29.07,83.16,6.26,50.25,mungbean
21,45,16,27.44,82.98,6.29,57.77,mungbean
35,67,16,28.08,73.89,6.66,74.49,blackgram
40,74,20,33.84,68.31,7.03,62.93,blackgram
39,78,18,28.72,71.4,6.84,74.28,blackgram
53,70,24,25.5,63.86,6.97,63.4,blackgram
54,78,19,28.42,74.42,6.94,67.34,blackgram
44,78,21,32.62,72.18,6.84,66.51,blackgram
56,64,23,34.41,69.35,7.24,72.08,blackgram
56,65,16,29.02,70.11,6.95,71.23,blackgram
44,71,17,32.49,68.19,6.7,64.38,blackgram
54,67,17,34.67,70.73,7.46,66.41,blackgram
47,77,20,32.07,63.78,6.95,61.85,blackgram
40,55,15,34.77,63.64,7.16,72.59,blackgram
49,59,22,31.0,70.97,7.27,74.63,blackgram
49,64,21,25.68,73.46,6.62,64.92,blackgram
55,70,19,29.73,72.82,6.84,73.04,blackgram
37,74,23,26.82,66.46,6.67,70.6,blackgram
48,71,17,27.12,60.62,6.82,68.4,blackgram
56,72,19,34.53,70.79,7.43,67.91,blackgram
41,56,22,26.21,64.54,7.03,68.47,blackgram
50,59,19,31.17,74.55,7.23,73.84,blackgram
54,70,17,31.67,69.35,7.1,67.35,blackgram
48,63,20,26.98,72.08,6.69,61.27,blackgram
46,71,19,27.77,68.37,6.85,73.99,blackgram
58,68,18,32.37,60.55,6.97,65.04,blackgram
58,55,21,32.41,67.28,6.59,74.59,blackgram
48,70,17,29.83,66.44,6.57,61.59,blackgram
56,61,17,30.05,71.53,6.56,68.65,blackgram
38,56,16,33.34,61.77,6.55,66.57,blackgram
56,62,19,25.4,66.74,7.08,68.56,blackgram
43,63,16,28.67,61.49,7.27,74.49,blackgram
59,77,21,32.01,64.28,7.13,66.83,blackgram
47,74,18,28.18,73.87,6.56,67.28,blackgram
58,70,20,27.5,65.15,7.35,68.39,blackgram
48,57,15,34.64,65.65,7.1,61.2,blackgram
52,78,21,26.26,68.73,7.27,66.1,blackgram
57,71,24,31.24,61.97,6.81,63.03,blackgram
58,74,22,28.01,62.76,7.26,67.11,blackgram
41,70,15,28.26,67.03,6.65,74.77,blackgram
40,58,17,32.69,66.38,7.07,60.32,blackgram
36,66,23,33.85,61.3,7.04,73.7,blackgram
45,76,16,34.35,71.27,7.44,70.15,blackgram
44,78,18,28.32,70.51,7.27,73.94,blackgram
40,75,22,25.64,65.81,6.78,64.57,blackgram
60,71,22,34.77,65.66,7.3,66.52,blackgram
57,60,24,27.19,64.89,7.26,65.91,blackgram
50,66,22,27.28,60.88,6.8,67.11,blackgram
39,64,19,25.57,68.75,7.38,62.28,blackgram
50,72,19,32.01,66.16,7.0,60.11,blackgram
52,72,15,28.68,74.69,6.92,67.53,blackgram
58,73,21,32.98,72.97,6.96,67.13,blackgram
45,79,22,25.83,72.94,6.98,61.03,blackgram
49,65,24,27.04,72.4,7.06,60.82,blackgram
59,68,18,29.69,72.87,6.8,62.89,blackgram
38,62,23,29.72,63.41,6.67,64.99,blackgram
58,64,25,29.85,62.69,7.39,66.91,blackgram
53,80,16,25.97,70.81,6.78,62.76,blackgram
36,56,23,26.34,67.02,7.11,66.43,blackgram
36,75,15,32.62,73.4,6.93,68.03,blackgram
47,65,24,33.94,65.04,7.12,73.9,blackgram
59,68,20,27.79,74.38,6.64,68.7,blackgram
42,62,19,34.99,60.82,7.08,61.24,blackgram
39,66,20,27.59,64.75,6.59,64.55,blackgram
59,79,18,30.71,73.64,6.51,72.16,blackgram
59,57,17,34.61,68.06,6.51,63.86,blackgram
46,72,22,34.95,64.31,7.04,68.0,blackgram
45,59,25,33.53,67.47,7.1,63.41,blackgram
49,72,20,34.9,69.17,6.87,71.58,blackgram
39,65,18,29.32,71.73,6.98,71.91,blackgram
49,64,23,27.38,63.37,7.0,63.91,blackgram
35,71,20,29.46,74.5,7.07,72.95,blackgram
38,69,24,30.83,70.77,6.87,61.39,blackgram
46,65,24,27.44,74.5,7.46,63.71,blackgram
44,77,25,29.43,64.81,7.03,70.32,blackgram
42,73,16,25.49,65.79,6.85,64.73,blackgram
47,63,17,28.09,74.62,6.91,66.67,blackgram
49,80,17,31.81,70.74,7.11,61.33,blackgram
52,57,21,32.4,63.16,7.34,60.46,blackgram
56,67,17,26.34,74.3,6.57,62.99,blackgram
44,71,20,26.26,64.35,6.74,63.2,blackgram
45,73,17,28.67,65.86,7.48,74.32,blackgram
55,61,16,28.17,64.0,7.01,71.67,blackgram
56,76,19,31.87,64.69,6.56,70.52,blackgram
35,65,18,31.93,71.49,6.8,72.17,blackgram
42,66,22,31.93,74.81,6.73,69.93,blackgram
50,78,17,32.52,68.52,6.77,67.12,blackgram
43,69,24,30.69,69.48,7.02,60.77,blackgram
41,67,18,26.82,67.56,6.82,63.87,blackgram
47,58,24,33.68,70.61,6.61,71.64,blackgram
55,74,16,31.44,72.51,7.08,69.7,blackgram
46,68,15,31.39,61.22,6.94,64.39,blackgram
49,58,22,32.95,62.45,6.6,62.18,blackgram
57,68,20,26.07,69.74,7.37,72.42,blackgram
51,57,16,25.49,63.86,6.64,63.9,blackgram
45,79,21,33.35,70.66,6.61,71.04,blackgram
42,71,18,34.98,63.95,6.78,73.96,blackgram
36,72,22,33.36,74.62,7.48,60.98,blackgram
56,71,21,26.28,69.75,7.48,73.68,blackgram
46,56,19,33.26,70.52,6.96,60.83,blackgram
46,67,24,31.41,64.67,7.03,60.99,blackgram
59,64,20,28.55,70.24,7.16,70.73,blackgram
22,63,16,25.87,60.4,7.04,52.39,lentil
37,66,20,18.92,66.71,7.46,39.89,lentil
26,76,24,20.92,65.51,6.27,37.04,lentil
38,76,23,18.59,68.44,6.73,41.85,lentil
29,57,23,24.99,61.87,6.26,38.68,lentil
16,70,23,18.21,60.49,6.99,51.39,lentil
23,64,21,21.29,60.27,7.3,47.51,lentil
30,74,22,20.47,63.52,6.14,37.6,lentil
32,76,25,25.54,61.84,6.1,51.26,lentil
29,70,23,26.44,68.34,6.01,49.95,lentil
36,62,21,21.77,69.58,5.96,46.6,lentil
19,73,17,20.82,64.94,7.64,39.23,lentil
19,74,20,28.94,61.47,7.13,39.66,lentil
19,72,21,27.06,63.09,6.75,43.11,lentil
40,62,18,22.25,65.65,6.38,53.31,lentil
22,77,16,25.88,69.07,6.22,54.37,lentil
26,79,22,21.62,61.88,6.48,36.86,lentil
19,58,19,27.55,61.41,6.15,47.87,lentil
20,57,17,29.08,68.21,6.57,48.12,lentil
28,72,22,25.54,62.66,5.97,44.11,lentil
37,69,23,29.9,61.64,7.21,48.49,lentil
39,80,22,20.92,67.99,6.1,50.61,lentil
38,65,21,23.16,64.38,6.49,50.24,lentil
38,79,17,28.5,67.37,6.38,36.35,lentil
22,78,21,26.65,62.57,7.27,35.56,lentil
24,71,16,27.88,62.35,7.14,43.1,lentil
30,58,15,28.91,62.7,7.46,54.99,lentil
20,62,22,29.59,69.16,6.86,50.9,lentil
18,79,25,19.96,62.99,6.09,40.43,lentil
35,64,16,22.11,69.81,7.1,43.32,lentil
19,80,23,21.38,60.7,6.01,37.41,lentil
30,78,20,28.12,64.46,7.25,49.64,lentil
19,64,21,18.85,63.62,6.92,54.92,lentil
27,75,19,27.56,65.95,7.58,43.22,lentil
30,71,19,19.73,60.94,5.93,52.47,lentil
21,60,22,21.84,65.06,6.21,54.19,lentil
36,77,19,27.15,61.44,5.92,35.4,lentil
30,66,20,18.09,64.23,7.26,43.85,lentil
33,61,23,25.06,62.11,6.35,47.56,lentil
36,65,18,28.4,66.69,6.75,44.76,lentil
20,71,19,29.95,64.8,6.82,46.32,lentil
38,75,20,26.62,65.86,6.84,38.85,lentil
27,61,24,22.02,69.52,6.91,47.63,lentil
29,58,19,19.19,66.23,6.75,50.56,lentil
21,59,19,29.12,67.1,6.7,45.35,lentil
17,80,22,21.42,65.86,6.11,54.32,lentil
19,71,17,26.61,67.77,7.18,47.29,lentil
37,57,18,20.98,69.88,6.64,49.65,lentil
32,60,17,21.38,64.11,6.35,35.39,lentil
37,79,18,22.06,60.07,7.19,51.51,lentil
19,59,23,25.4,60.45,7.08,41.18,lentil
24,74,23,22.8,69.47,6.67,50.44,lentil
27,77,24,19.05,69.36,7.47,50.83,lentil
20,75,24,21.47,69.52,5.99,38.0,lentil
28,69,21,18.2,69.6,5.98,37.86,lentil
15,69,24,25.99,68.23,5.93,45.84,lentil
26,67,16,26.21,65.03,7.35,44.71,lentil
19,71,17,28.47,66.13,6.2,54.25,lentil
28,57,21,21.04,68.04,7.45,54.58,lentil
28,66,23,19.59,65.47,6.94,36.79,lentil
25,76,24,19.19,60.91,6.4,52.5,lentil
18,73,16,25.48,63.56,7.4,39.67,lentil
31,61,22,28.48,61.27,7.55,46.87,lentil
18,66,17,26.4,67.59,6.1,45.12,lentil
35,78,20,29.4,65.36,6.65,51.96,lentil
27,67,20,28.16,68.32,6.67,41.67,lentil
27,69,17,27.53,64.86,6.53,37.14,lentil
21,79,18,20.03,64.61,6.48,35.7,lentil
23,69,21,22.28,64.47,7.73,42.55,lentil
21,61,20,27.11,62.06,7.25,35.42,lentil
25,74,18,24.76,62.05,7.31,36.05,lentil
36,60,24,22.23,67.23,6.51,53.12,lentil
18,59,20,18.98,61.96,7.69,54.53,lentil
24,78,20,21.24,67.02,7.15,54.78,lentil
22,72,16,19.36,60.04,7.8,51.05,lentil
35,68,18,19.82,62.85,6.61,50.13,lentil
28,57,15,19.23,64.1,7.67,47.75,lentil
35,67,19,19.3,68.76,7.39,38.36,lentil
28,67,21,29.35,65.8,6.93,36.01,lentil
17,60,15,26.92,67.23,6.16,51.72,lentil
19,63,17,22.47,62.55,6.83,43.15,lentil
40,56,16,18.63,66.26,6.0,51.73,lentil
28,68,21,20.05,61.98,6.51,46.87,lentil
20,58,25,18.26,68.03,7.4,40.94,lentil
18,59,22,25.71,67.83,7.68,48.84,lentil
19,61,23,20.51,60.73,7.24,43.05,lentil
38,71,16,29.37,62.59,6.54,43.05,lentil
16,67,16,22.81,63.51,7.37,51.06,lentil
19,64,19,19.82,67.98,7.24,38.81,lentil
24,58,21,19.46,69.86,7.38,42.8,lentil
29,78,21,20.09,63.79,7.5,47.88,lentil
31,77,24,29.04,60.95,6.93,49.81,lentil
34,70,17,27.57,67.2,6.06,44.28,lentil
19,63,15,22.8,65.5,7.08,48.27,lentil
36,60,16,28.22,61.57,7.75,51.85,lentil
28,80,16,21.64,66.38,6.57,53.57,lentil
17,69,21,25.83,62.56,6.59,51.87,lentil
20,76,21,27.15,67.14,6.29,46.38,lentil
37,66,25,23.43,61.43,6.64,54.03,lentil
23,77,24,22.2,60.83,7.28,41.23,lentil
31,19,40,23.45,88.82,6.25,105.64,pomegranate
15,21,43,20.53,90.24,6.64,104.04,pomegranate
11,29,42,22.04,91.48,5.55,109.27,pomegranate
20,21,39,18.57,86.93,7.12,106.13,pomegranate
19,11,35,23.02,90.38,6.36,103.65,pomegranate
30,13,37,21.22,87.86,5.92,109.68,pomegranate
26,26,39,18.51,87.74,7.17,108.94,pomegranate
28,10,40,18.26,90.69,7.07,114.53,pomegranate
22,19,44,22.72,85.65,6.29,103.6,pomegranate
19,19,41,20.5,86.64,6.36,112.45,pomegranate
27,17,44,24.39,87.09,5.57,111.12,pomegranate
33,29,44,22.2,90.3,5.55,103.7,pomegranate
18,23,41,23.2,87.8,6.46,101.32,pomegranate
17,25,42,24.93,87.78,6.35,104.94,pomegranate
18,27,42,24.18,87.04,6.98,100.9,pomegranate
36,17,38,21.58,94.41,5.58,105.28,pomegranate
34,18,37,20.97,88.86,7.06,111.43,pomegranate
20,30,40,18.41,87.62,6.24,102.35,pomegranate
38,25,38,22.14,92.21,7.1,113.22,pomegranate
21,25,41,21.87,86.15,5.71,107.94,pomegranate
11,10,42,18.23,90.95,6.42,114.53,pomegranate
19,11,41,23.89,94.97,6.23,104.8,pomegranate
36,14,41,20.84,85.41,6.09,103.98,pomegranate
27,29,38,23.68,85.55,6.41,101.06,pomegranate
37,25,42,23.77,91.48,7.15,110.71,pomegranate
37,20,36,21.7,86.27,6.51,107.24,pomegranate
25,10,37,21.44,94.51,6.15,106.37,pomegranate
29,22,38,20.88,87.18,7.14,101.96,pomegranate
15,11,37,23.46,87.01,5.64,107.12,pomegranate
0,12,43,23.4,94.15,6.95,110.25,pomegranate
2,26,43,23.59,90.08,5.9,112.68,pomegranate
29,30,37,19.58,87.12,6.85,102.8,pomegranate
3,30,35,23.85,88.65,6.93,108.32,pomegranate
36,29,35,18.53,87.5,6.64,113.32,pomegranate
18,22,37,23.63,94.67,5.96,107.42,pomegranate
3,21,40,19.01,89.42,6.07,107.83,pomegranate
23,10,43,22.99,88.66,5.59,111.32,pomegranate
38,15,38,19.29,90.77,5.76,105.34,pomegranate
28,21,39,20.94,90.62,5.51,101.18,pomegranate
35,12,42,24.44,87.71,6.13,108.53,pomegranate
35,29,42,18.61,91.69,6.2,107.06,pomegranate
2,14,43,21.18,88.02,6.15,112.82,pomegranate
30,15,36,19.76,94.21,6.49,108.0,pomegranate
24,17,43,21.66,86.17,5.72,108.05,pomegranate
37,16,44,23.35,87.48,5.56,101.53,pomegranate
29,14,39,21.51,92.25,5.69,106.1,pomegranate
19,21,43,19.2,93.08,6.68,108.34,pomegranate
28,18,36,22.66,90.25,6.59,105.07,pomegranate
36,22,36,21.15,92.56,6.85,107.42,pomegranate
36,15,39,24.29,93.96,6.67,112.88,pomegranate
4,27,38,19.25,87.39,6.21,103.77,pomegranate
13,13,38,22.01,89.42,6.09,111.2,pomegranate
36,25,38,23.21,86.52,5.72,105.18,pomegranate
32,15,36,18.92,93.59,6.58,103.8,pomegranate
22,21,42,19.63,93.64,6.03,110.41,pomegranate
1,17,39,21.8,85.73,6.84,103.27,pomegranate
27,26,41,23.19,91.62,6.1,112.13,pomegranate
12,21,42,20.65,88.03,6.28,112.27,pomegranate
37,21,42,24.32,85.99,5.89,110.63,pomegranate
33,27,39,18.63,89.38,5.89,104.37,pomegranate
31,12,43,20.99,90.96,5.65,105.06,pomegranate
4,29,43,21.22,87.24,7.09,105.17,pomegranate
6,21,44,18.03,87.38,7.1,102.57,pomegranate
5,21,44,21.34,94.95,6.65,101.11,pomegranate
40,18,38,21.91,88.04,5.65,100.02,pomegranate
18,27,41,24.99,87.87,5.98,102.4,pomegranate
7,16,43,24.34,94.75,5.89,113.22,pomegranate
13,12,44,22.45,86.65,6.23,104.31,pomegranate
29,19,45,18.38,88.55,6.32,107.55,pomegranate
13,25,44,24.57,93.05,6.95,108.26,pomegranate
33,16,39,20.22,89.67,5.99,114.42,pomegranate
13,12,40,18.4,86.11,5.87,106.97,pomegranate
17,26,42,20.98,88.34,6.04,111.61,pomegranate
2,10,43,21.34,86.31,5.9,113.99,pomegranate
34,24,40,21.64,94.75,7.14,103.23,pomegranate
32,14,37,22.73,89.05,7.08,101.34,pomegranate
20,28,44,19.1,88.67,6.55,102.39,pomegranate
39,28,37,18.85,85.85,7.05,102.9,pomegranate
17,19,41,18.5,87.27,7.08,113.63,pomegranate
31,10,38,22.4,87.75,7.05,109.51,pomegranate
3,28,45,18.54,90.32,6.02,105.89,pomegranate
7,22,45,21.52,85.83,6.55,105.1,pomegranate
34,19,37,19.34,92.69,5.95,111.51,pomegranate
8,16,40,24.6,94.32,5.85,105.37,pomegranate
6,20,40,24.31,94.3,6.15,107.38,pomegranate
36,26,35,20.24,89.22,5.89,102.99,pomegranate
2,23,38,18.37,87.31,6.86,112.77,pomegranate
19,18,45,19.4,87.15,6.0,102.59,pomegranate
15,28,41,20.88,94.34,5.58,103.15,pomegranate
23,22,35,20.82,91.49,6.69,109.57,pomegranate
13,12,39,18.9,94.48,6.31,104.76,pomegranate
31,20,38,23.68,93.67,6.64,100.7,pomegranate
23,25,36,19.6,93.82,5.53,111.29,pomegranate
19,19,35,23.74,88.6,6.42,110.16,pomegranate
28,29,40,20.8,94.54,6.59,104.47,pomegranate
5,27,39,22.62,89.71,5.84,109.03,pomegranate
2,18,40,21.05,92.49,6.91,111.57,pomegranate
2,14,40,24.54,93.35,6.93,104.55,pomegranate
17,19,37,18.22,94.47,5.91,103.6,pomegranate
3,29,41,22.67,94.12,6.09,109.32,pomegranate
102,75,53,28.83,78.51,5.88,106.01,banana
100,76,47,26.25,83.06,5.78,95.75,banana
120,92,47,25.39,78.56,6.25,106.52,banana
133,94,53,28.02,79.93,5.54,119.53,banana
115,74,52,26.42,80.86,6.09,103.37,banana
133,77,49,27.69,81.64,6.28,101.84,banana
126,74,54,26.92,82.3,5.52,96.16,banana
119,92,50,29.65,79.84,5.99,93.59,banana
132,76,54,29.55,84.43,6.02,110.31,banana
131,73,51,25.17,79.98,5.65,95.49,banana
115,81,51,25.37,80.04,5.68,107.22,banana
125,84,52,26.68,82.65,5.93,104.53,banana
126,70,52,28.09,78.1,5.59,92.73,banana
137,87,46,26.78,80.92,6.34,91.31,banana
109,92,45,26.01,84.59,6.11,97.85,banana
103,71,47,29.41,79.16,6.22,117.55,banana
116,75,50,29.54,83.04,5.57,110.78,banana
123,93,46,27.67,83.79,5.91,104.46,banana
103,77,48,29.73,77.83,5.96,110.14,banana
106,82,52,29.33,81.26,6.17,93.79,banana
138,73,53,26.32,84.34,6.22,112.61,banana
109,81,51,28.85,76.04,6.46,116.71,banana
111,91,50,27.31,78.14,6.08,111.9,banana
116,86,52,28.56,75.52,6.36,103.75,banana
110,76,50,29.43,78.78,6.25,92.9,banana
119,95,53,26.05,80.01,5.73,102.29,banana
131,89,47,29.61,80.93,5.88,105.06,banana
124,84,50,27.52,76.76,6.31,106.25,banana
